,player_id,position,sub_position,yellow_cards,red_cards,avg_minutes_played,n_games
422,154199,Defender,Centre-Back,32,0,78.69736842105263,152
423,176140,Defender,Centre-Back,32,1,82.0561797752809,89
424,181380,Defender,Left-Back,32,0,76.46315789473684,190
425,214257,Defender,Left-Back,32,0,75.42941176470588,170
426,230457,Defender,Right-Back,32,0,75.92086330935251,139
427,231172,Defender,Left-Back,32,0,70.38787878787879,165
428,258745,Defender,Centre-Back,32,2,84.72815533980582,103
429,262523,Defender,Right-Back,32,1,76.87272727272727,165
430,518472,Defender,Centre-Back,32,0,81.22058823529412,68
431,15956,Defender,Right-Back,31,1,71.971875,320
432,35247,Defender,Left-Back,31,0,73.26785714285714,224
433,38003,Defender,Left-Back,31,1,73.19354838709677,124
434,43003,Defender,Left-Back,31,0,83.81818181818181,264
435,43512,Defender,Centre-Back,31,1,77.95212765957447,188
436,45353,Defender,Left-Back,31,0,82.77227722772277,101
437,49723,Defender,Right-Back,31,1,66.78443113772455,167
438,50477,Defender,Centre-Back,31,0,76.05633802816901,71
439,55237,Defender,Centre-Back,31,0,84.66981132075472,106
440,55501,Defender,Centre-Back,31,1,82.17333333333333,75
441,59333,Defender,Centre-Back,31,3,84.66492146596859,191
442,61841,Defender,Right-Back,31,1,79.84105960264901,151
443,68645,Defender,Right-Back,31,1,80.54658385093168,161
444,74081,Defender,Left-Back,31,0,87.3739837398374,123
445,83002,Defender,Right-Back,31,1,83.41409691629956,227
446,85475,Defender,Centre-Back,31,1,85.7487922705314,207
447,91469,Defender,Centre-Back,31,1,84.97272727272727,220
448,112052,Defender,Centre-Back,31,0,85.20670391061452,179
449,149928,Defender,Centre-Back,31,1,81.70247933884298,121
450,157993,Defender,Centre-Back,31,0,87.90650406504065,246
451,169880,Defender,Right-Back,31,0,89.05696202531645,158
452,171399,Defender,Left-Back,31,1,74.14473684210526,152
453,189485,Defender,Left-Back,31,1,79.3,150
454,192765,Defender,Left-Back,31,0,76.75438596491227,228
455,207573,Defender,Centre-Back,31,0,76.55333333333333,150
456,242279,Defender,Centre-Back,31,1,86.40243902439025,82
457,255488,Defender,Centre-Back,31,0,87.39240506329114,158
458,260827,Defender,Centre-Back,31,1,84.21556886227545,167
459,273236,Defender,Centre-Back,31,0,79.19658119658119,117
460,281769,Defender,Centre-Back,31,2,81.70833333333333,144
461,286949,Defender,Left-Back,31,3,77.77215189873418,158
462,298589,Defender,Centre-Back,31,0,88.96491228070175,114
463,303219,Defender,Centre-Back,31,1,71.77319587628865,97
464,324282,Defender,Right-Back,31,0,63.39344262295082,122
465,344395,Defender,Centre-Back,31,2,80.71428571428571,91
466,9850,Defender,Centre-Back,30,0,83.79069767441861,129
467,22917,Defender,Centre-Back,30,0,88.57377049180327,122
468,25734,Defender,Right-Back,30,0,85.55263157894737,228
469,27613,Defender,Centre-Back,30,1,81.5360824742268,97
